date,hour,temperature,wind_speed,wind_angle,humidity,pressure,visibility
2025-01-01,"00:00Wed, 1 Jan",20.0,6.0,150.0,83.0,1018.0,N/A
2025-01-01,00:30,20.0,6.0,150.0,83.0,1018.0,N/A
2025-01-01,01:00,19.0,4.0,0.0,94.0,1018.0,7.0
2025-01-01,01:30,19.0,6.0,190.0,94.0,1017.0,8.0
2025-01-01,02:00,19.0,7.0,230.0,94.0,1017.0,7.0
2025-01-01,02:30,19.0,6.0,250.0,94.0,1016.0,7.0
2025-01-01,03:30,19.0,4.0,240.0,94.0,1016.0,7.0
2025-01-01,04:00,19.0,2.0,240.0,94.0,1016.0,8.0
2025-01-01,04:30,19.0,0.0,0.0,94.0,1016.0,8.0
2025-01-01,05:00,19.0,4.0,170.0,88.0,1016.0,8.0
2025-01-01,06:00,19.0,4.0,210.0,94.0,1016.0,N/A
2025-01-01,06:30,19.0,4.0,220.0,94.0,1017.0,8.0
2025-01-01,07:00,19.0,2.0,0.0,94.0,1017.0,8.0
2025-01-01,07:30,19.0,2.0,210.0,94.0,1017.0,8.0
2025-01-01,08:00,20.0,4.0,230.0,88.0,1018.0,N/A
2025-01-01,08:30,20.0,0.0,0.0,88.0,1018.0,N/A
2025-01-01,09:00,21.0,0.0,0.0,83.0,1018.0,N/A
2025-01-01,09:30,21.0,2.0,0.0,83.0,1018.0,N/A
2025-01-01,10:00,22.0,0.0,0.0,78.0,1018.0,N/A
2025-01-01,10:30,22.0,0.0,0.0,78.0,1018.0,N/A
2025-01-01,11:00,22.0,0.0,0.0,78.0,1018.0,7.0
2025-01-01,11:30,22.0,0.0,0.0,78.0,1017.0,7.0
2025-01-01,12:00,22.0,9.0,0.0,78.0,1016.0,7.0
2025-01-01,12:30,22.0,7.0,10.0,78.0,1016.0,N/A
2025-01-01,13:00,22.0,7.0,20.0,73.0,1015.0,N/A
2025-01-01,13:30,22.0,6.0,0.0,73.0,1015.0,N/A
2025-01-01,14:00,22.0,7.0,10.0,78.0,1014.0,N/A
2025-01-01,14:30,22.0,7.0,10.0,73.0,1014.0,N/A
2025-01-01,15:00,22.0,7.0,10.0,78.0,1014.0,N/A
2025-01-01,15:30,22.0,7.0,40.0,78.0,1014.0,N/A
2025-01-01,16:00,22.0,6.0,10.0,73.0,1014.0,N/A
2025-01-01,16:30,22.0,6.0,50.0,73.0,1014.0,N/A
2025-01-01,17:00,21.0,11.0,30.0,78.0,1015.0,8.0
2025-01-01,17:30,21.0,9.0,40.0,78.0,1015.0,N/A
2025-01-01,18:00,21.0,4.0,70.0,83.0,1015.0,7.0
2025-01-01,18:30,21.0,9.0,0.0,83.0,1015.0,7.0
2025-01-01,19:00,21.0,6.0,330.0,83.0,1015.0,N/A
2025-01-01,19:30,21.0,6.0,330.0,83.0,1016.0,8.0
2025-01-01,20:00,21.0,4.0,350.0,83.0,1016.0,8.0
2025-01-01,21:30,21.0,6.0,340.0,83.0,1016.0,8.0
2025-01-01,22:00,21.0,6.0,320.0,83.0,1016.0,7.0
2025-01-01,22:30,21.0,4.0,340.0,83.0,1016.0,7.0
2025-01-01,23:00,20.0,6.0,20.0,88.0,1016.0,7.0
2025-01-01,23:30,21.0,4.0,340.0,83.0,1016.0,7.0
2025-02-01,"00:00Sat, 1 Feb",20.0,4.0,0.0,88.0,1013.0,N/A
2025-02-01,00:30,19.0,2.0,0.0,88.0,1012.0,N/A
2025-02-01,01:00,19.0,4.0,0.0,88.0,1012.0,16.0
2025-02-01,01:30,18.0,6.0,210.0,88.0,1012.0,16.0
2025-02-01,02:00,18.0,4.0,0.0,94.0,1011.0,16.0
2025-02-01,02:30,18.0,2.0,0.0,94.0,1011.0,16.0
2025-02-01,03:00,18.0,4.0,210.0,88.0,1011.0,16.0
2025-02-01,03:30,17.0,4.0,210.0,94.0,1011.0,16.0
2025-02-01,04:00,17.0,2.0,220.0,94.0,1011.0,16.0
2025-02-01,04:30,17.0,4.0,210.0,94.0,1011.0,16.0
2025-02-01,05:00,17.0,0.0,0.0,94.0,1011.0,16.0
2025-02-01,06:00,17.0,4.0,240.0,94.0,1012.0,N/A
2025-02-01,07:00,18.0,4.0,0.0,94.0,1013.0,N/A
2025-02-01,07:30,20.0,0.0,0.0,88.0,1013.0,N/A
2025-02-01,08:00,22.0,0.0,0.0,78.0,1013.0,N/A
2025-02-01,08:30,22.0,2.0,0.0,78.0,1014.0,N/A
2025-02-01,09:00,23.0,2.0,0.0,74.0,1014.0,N/A
